DCGM_FI_DEV_GPU_UTIL                          present, 1 series
DCGM_FI_DEV_MEM_COPY_UTIL                     present, 1 series
DCGM_FI_DEV_ENC_UTIL                          present, 1 series
DCGM_FI_DEV_DEC_UTIL                          present, 1 series
DCGM_FI_PROF_GR_ENGINE_ACTIVE                 present, 1 series
DCGM_FI_PROF_SM_ACTIVE                        present, 1 series
DCGM_FI_PROF_PIPE_TENSOR_ACTIVE               present, 1 series
DCGM_FI_PROF_DRAM_ACTIVE                      present, 1 series
DCGM_FI_PROF_PCIE_TX_BYTES                    present, 1 series
DCGM_FI_PROF_PCIE_RX_BYTES                    present, 1 series
DCGM_FI_DEV_FB_FREE                           present, 1 series
DCGM_FI_DEV_FB_USED                           present, 1 series
DCGM_FI_DEV_FB_RESERVED                       present, 1 series
DCGM_FI_DEV_GPU_TEMP                          present, 1 series
DCGM_FI_DEV_MEMORY_TEMP                       present, 1 series
DCGM_FI_DEV_POWER_USAGE                       present, 1 series
DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION          present, 1 series
DCGM_FI_DEV_SM_CLOCK                          present, 1 series
DCGM_FI_DEV_MEM_CLOCK                         present, 1 series
DCGM_FI_DEV_POWER_VIOLATION                   present, 1 series
DCGM_FI_DEV_THERMAL_VIOLATION                 present, 1 series
DCGM_EXP_CLOCK_EVENTS_TOTAL                   present, 2 series
DCGM_FI_DEV_ECC_SBE_VOL_TOTAL                 present, 1 series
DCGM_FI_DEV_ECC_DBE_VOL_TOTAL                 present, 1 series
DCGM_FI_DEV_ECC_SBE_AGG_TOTAL                 present, 1 series
DCGM_FI_DEV_ECC_DBE_AGG_TOTAL                 present, 1 series
DCGM_FI_DEV_UNCORRECTABLE_REMAPPED_ROWS       present, 1 series
DCGM_FI_DEV_CORRECTABLE_REMAPPED_ROWS         present, 1 series
DCGM_FI_DEV_ROW_REMAP_FAILURE                 present, 1 series
DCGM_FI_DEV_PCIE_REPLAY_COUNTER               present, 1 series
DCGM_FI_DEV_XID_ERRORS                        present, 1 series
DCGM_EXP_XID_ERRORS_TOTAL                     present, 1 series
DCGM_EXP_GPU_HEALTH_STATUS                    present, 11 series
